flight_date,flight_status,dep_airport,dep_timezone,dep_iata,dep_icao,dep_terminal,dep_gate,dep_delay,dep_scheduled_utc,dep_estimated_utc,dep_actual_utc,arr_airport,arr_timezone,arr_iata,arr_icao,arr_terminal,arr_gate,arr_delay,arr_scheduled_utc,arr_estimated_utc,arr_actual_utc,airline_name,airline_iata,airline_icao,flight_number,flight_iata,flight_icao,aircraft_registration,aircraft_iata,aircraft_icao,aircraft_icao24,silver_loaded_at
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,,4,2026-03-20 18:45:00,2026-03-20 18:45:00,2026-03-20 19:07:00,,,MHL,KMHL,,,22,2026-03-20 19:40:00,2026-03-20 19:44:00,,Pacific Coast Jet,,PXT,,,PXT,,,,ACBF02,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,,,2026-03-20 19:00:00,2026-03-20 19:00:00,,Blue Grass,America/New_York,LEX,KLEX,,,14,2026-03-20 20:05:00,,,empty,,,,,,,,,A9B389,2026-03-21 00:58:33
2026-03-20 00:00:00,scheduled,Hopkins International,America/New_York,CLE,KCLE,,,,2026-03-20 21:30:00,2026-03-20 21:30:00,,Salt Lake City International,America/Denver,SLC,KSLC,,,10,2026-03-20 23:04:00,,,Charter Airlines,,RKJ,232,,RKJ232,,,,,2026-03-21 00:58:33
2026-03-20 00:00:00,scheduled,Hopkins International,America/New_York,CLE,KCLE,,,,2026-03-20 22:19:00,2026-03-20 22:19:00,,Memphis International,America/Chicago,MEM,KMEM,,,,2026-03-20 22:59:00,,,FedEx,FX,FDX,1346,FX1346,FDX1346,,,,,2026-03-21 00:58:33
2026-03-20 00:00:00,scheduled,Hopkins International,America/New_York,CLE,KCLE,,A10,,2026-03-20 22:00:00,2026-03-20 22:00:00,,Orlando International,America/New_York,MCO,KMCO,A,13,,2026-03-21 00:42:00,,,Frontier Airlines,F9,FFT,1916,F91916,FFT1916,,,,A38527,2026-03-21 00:58:33
2026-03-20 00:00:00,scheduled,Hopkins International,America/New_York,CLE,KCLE,,A6,,2026-03-20 21:48:00,2026-03-20 21:48:00,,Southwest Florida International,America/New_York,RSW,KRSW,,B7,,2026-03-21 00:43:00,,,Frontier Airlines,F9,FFT,1546,F91546,FFT1546,,,,A3E55A,2026-03-21 00:58:33
2026-03-20 00:00:00,scheduled,Hopkins International,America/New_York,CLE,KCLE,,,,2026-03-20 21:45:00,2026-03-20 21:45:00,,Dublin International,Europe/Dublin,DUB,EIDW,2,,10,2026-03-21 08:45:00,,,Aer Lingus,EI,EIN,86,EI86,EIN86,,,,4CABD2,2026-03-21 00:58:33
2026-03-20 00:00:00,scheduled,Hopkins International,America/New_York,CLE,KCLE,,,,2026-03-20 21:45:00,2026-03-20 21:45:00,,Dublin International,Europe/Dublin,DUB,EIDW,2,,10,2026-03-21 08:45:00,,,Qatar Airways,QR,QTR,6204,QR6204,QTR6204,,,,4CABD2,2026-03-21 00:58:33
2026-03-20 00:00:00,scheduled,Hopkins International,America/New_York,CLE,KCLE,,,,2026-03-20 21:45:00,2026-03-20 21:45:00,,Dublin International,Europe/Dublin,DUB,EIDW,2,,10,2026-03-21 08:45:00,,,Iberia,IB,IBE,6026,IB6026,IBE6026,,,,4CABD2,2026-03-21 00:58:33
2026-03-20 00:00:00,scheduled,Hopkins International,America/New_York,CLE,KCLE,,,,2026-03-20 21:45:00,2026-03-20 21:45:00,,Dublin International,Europe/Dublin,DUB,EIDW,2,,10,2026-03-21 08:45:00,,,British Airways,BA,BAW,6126,BA6126,BAW6126,,,,4CABD2,2026-03-21 00:58:33
2026-03-20 00:00:00,scheduled,Hopkins International,America/New_York,CLE,KCLE,,,,2026-03-20 21:45:00,2026-03-20 21:45:00,,Dublin International,Europe/Dublin,DUB,EIDW,2,,10,2026-03-21 08:45:00,,,American Airlines,AA,AAL,8066,AA8066,AAL8066,,,,4CABD2,2026-03-21 00:58:33
2026-03-20 00:00:00,scheduled,Hopkins International,America/New_York,CLE,KCLE,,,,2026-03-20 21:26:00,2026-03-20 21:26:00,,Louisville International (Standiford Field),America/Kentucky/Louisville,SDF,KSDF,,,10,2026-03-20 22:30:00,,,UPS Airlines,5X,UPS,1441,5X1441,UPS1441,,,,,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C29,,2026-03-20 19:59:00,2026-03-20 19:59:00,,Washington Dulles International,America/New_York,IAD,KIAD,,D2,11,2026-03-20 21:16:00,,,Lufthansa,LH,DLH,7741,LH7741,DLH7741,,,,AB6CB0,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C29,,2026-03-20 19:59:00,2026-03-20 19:59:00,,Washington Dulles International,America/New_York,IAD,KIAD,,D2,11,2026-03-20 21:16:00,,,Copa Airlines,CM,CMP,1089,CM1089,CMP1089,,,,AB6CB0,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,,5,2026-03-20 14:30:00,2026-03-20 14:30:00,2026-03-20 15:01:00,Teterboro,America/New_York,TEB,KTEB,,,31,2026-03-20 15:50:00,2026-03-20 15:55:00,,empty,,,,,,,,,A9DA3B,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,B10,,2026-03-20 20:45:00,2026-03-20 20:45:00,,Nashville International,America/Chicago,BNA,KBNA,,D2,72,2026-03-20 21:25:00,,,Southwest Airlines,WN,SWA,3438,WN3438,SWA3438,,,,AD6595,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,A2,,2026-03-20 20:36:00,2026-03-20 20:36:00,,Harry Reid International Airport,America/Los_Angeles,LAS,KLAS,3,E8X,,2026-03-20 22:35:00,,,Frontier Airlines,F9,FFT,1821,F91821,FFT1821,,,,A48E7B,2026-03-21 00:58:33
2026-03-20 00:00:00,scheduled,Hopkins International,America/New_York,CLE,KCLE,,,,2026-03-20 18:24:00,2026-03-20 18:24:00,,Philadelphia International,America/New_York,PHL,KPHL,D,,,2026-03-20 19:24:00,,,NetJets Aviation,1I,EJA,257,1I257,EJA257,,,,,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C29,,2026-03-20 19:59:00,2026-03-20 19:59:00,,Washington Dulles International,America/New_York,IAD,KIAD,,D2,11,2026-03-20 21:16:00,,,Air Canada,AC,ACA,3609,AC3609,ACA3609,,,,AB6CB0,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,B05,,2026-03-20 19:57:00,2026-03-20 19:57:00,,Hartsfield-jackson Atlanta International,America/New_York,ATL,KATL,S,B06,22,2026-03-20 22:00:00,,,Virgin Atlantic,VS,VIR,2551,VS2551,VIR2551,,,,A44969,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,B05,,2026-03-20 19:57:00,2026-03-20 19:57:00,,Hartsfield-jackson Atlanta International,America/New_York,ATL,KATL,S,B06,22,2026-03-20 22:00:00,,,LATAM Airlines,LA,LAN,6479,LA6479,LAN6479,,,,A44969,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,B05,,2026-03-20 19:57:00,2026-03-20 19:57:00,,Hartsfield-jackson Atlanta International,America/New_York,ATL,KATL,S,B06,22,2026-03-20 22:00:00,,,KLM,KL,KLM,5501,KL5501,KLM5501,,,,A44969,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,B05,,2026-03-20 19:57:00,2026-03-20 19:57:00,,Hartsfield-jackson Atlanta International,America/New_York,ATL,KATL,S,B06,22,2026-03-20 22:00:00,,,Korean Air,KE,KAL,3518,KE3518,KAL3518,,,,A44969,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,B05,,2026-03-20 19:57:00,2026-03-20 19:57:00,,Hartsfield-jackson Atlanta International,America/New_York,ATL,KATL,S,B06,22,2026-03-20 22:00:00,,,Air France,AF,AFR,2603,AF2603,AFR2603,,,,A44969,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C18,,2026-03-20 19:34:00,2026-03-20 19:34:00,2026-03-20 19:45:00,Chicago O'hare International,America/Chicago,ORD,KORD,2,E5,12,2026-03-20 20:20:00,2026-03-20 19:42:00,,Air New Zealand,NZ,ANZ,2176,NZ2176,ANZ2176,,,,A9CD47,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C18,,2026-03-20 19:34:00,2026-03-20 19:34:00,2026-03-20 19:45:00,Chicago O'hare International,America/Chicago,ORD,KORD,2,E5,12,2026-03-20 20:20:00,2026-03-20 19:42:00,,Lufthansa,LH,DLH,7747,LH7747,DLH7747,,,,A9CD47,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C5,,2026-03-20 20:07:00,2026-03-20 20:07:00,,Ronald Reagan Washington National Airport,America/New_York,DCA,KDCA,2,E52,34,2026-03-20 21:30:00,,,American Airlines,AA,AAL,5226,AA5226,AAL5226,,,,A6B840,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,B11,,2026-03-20 20:05:00,2026-03-20 20:05:00,,Lambert-St. Louis International,America/Chicago,STL,KSTL,2,E8,14,2026-03-20 20:50:00,,,Southwest Airlines,WN,SWA,1891,WN1891,SWA1891,,,,AC042A,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C29,,2026-03-20 19:59:00,2026-03-20 19:59:00,,Washington Dulles International,America/New_York,IAD,KIAD,,D2,11,2026-03-20 21:16:00,,,United Airlines,UA,UAL,2378,UA2378,UAL2378,,,,AB6CB0,2026-03-21 00:58:33
2026-03-20 00:00:00,scheduled,Hopkins International,America/New_York,CLE,KCLE,,B05,,2026-03-20 19:57:00,2026-03-20 19:57:00,,Hartsfield-jackson Atlanta International,America/New_York,ATL,KATL,S,D03,,2026-03-20 22:00:00,,,Delta Air Lines,DL,DAL,1350,DL1350,DAL1350,,,,A44969,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,B10,,2026-03-20 19:50:00,2026-03-20 19:50:00,,Midway,America/Chicago,MDW,KMDW,,B16,10,2026-03-20 20:10:00,,,Southwest Airlines,WN,SWA,2211,WN2211,SWA2211,N439WN,B737,B737,A5468E,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C18,,2026-03-20 19:34:00,2026-03-20 19:34:00,2026-03-20 19:45:00,Chicago O'hare International,America/Chicago,ORD,KORD,2,E5,12,2026-03-20 20:20:00,2026-03-20 19:42:00,,United Airlines,UA,UAL,3492,UA3492,UAL3492,N730YX,E75L,E75L,A9CD47,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C18,,2026-03-20 19:34:00,2026-03-20 19:34:00,2026-03-20 19:45:00,Chicago O'hare International,America/Chicago,ORD,KORD,2,E5,12,2026-03-20 20:20:00,2026-03-20 19:42:00,,Copa Airlines,CM,CMP,1784,CM1784,CMP1784,,,,A9CD47,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,B4B,,2026-03-20 19:26:00,2026-03-20 19:26:00,,Detroit Metropolitan Wayne County,America/Detroit,DTW,KDTW,M,B7,61,2026-03-20 20:31:00,,,Delta Air Lines,DL,DAL,4954,DL4954,DAL4954,,,,A33AA7,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,B4B,,2026-03-20 19:26:00,2026-03-20 19:26:00,,Detroit Metropolitan Wayne County,America/Detroit,DTW,KDTW,M,B7,61,2026-03-20 20:31:00,,,WestJet,WS,WJA,8057,WS8057,WJA8057,,,,A33AA7,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,B4B,,2026-03-20 19:26:00,2026-03-20 19:26:00,,Detroit Metropolitan Wayne County,America/Detroit,DTW,KDTW,M,B7,61,2026-03-20 20:31:00,,,Virgin Atlantic,VS,VIR,1618,VS1618,VIR1618,,,,A33AA7,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,B4B,,2026-03-20 19:26:00,2026-03-20 19:26:00,,Detroit Metropolitan Wayne County,America/Detroit,DTW,KDTW,M,B7,61,2026-03-20 20:31:00,,,KLM,KL,KLM,5936,KL5936,KLM5936,,,,A33AA7,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,B4B,,2026-03-20 19:26:00,2026-03-20 19:26:00,,Detroit Metropolitan Wayne County,America/Detroit,DTW,KDTW,M,B7,61,2026-03-20 20:31:00,,,Air France,AF,AFR,2856,AF2856,AFR2856,,,,A33AA7,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,B6A,,2026-03-20 19:20:00,2026-03-20 19:20:00,2026-03-20 19:40:00,LaGuardia,America/New_York,LGA,KLGA,C,66,21,2026-03-20 21:02:00,2026-03-20 20:44:00,,Delta Air Lines,DL,DAL,5194,DL5194,DAL5194,N479PX,CRJ9,CRJ9,A5E3E4,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C3,,2026-03-20 19:18:00,2026-03-20 19:18:00,2026-03-20 19:26:00,Chicago O'hare International,America/Chicago,ORD,KORD,3,L11,9,2026-03-20 20:01:00,2026-03-20 19:27:00,,American Airlines,AA,AAL,3514,AA3514,AAL3514,N266NN,E75L,E75L,A29680,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C3,,2026-03-20 19:18:00,2026-03-20 19:18:00,2026-03-20 19:26:00,Chicago O'hare International,America/Chicago,ORD,KORD,3,L11,9,2026-03-20 20:01:00,2026-03-20 19:27:00,,British Airways,BA,BAW,1768,BA1768,BAW1768,,,,A29680,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C3,,2026-03-20 19:18:00,2026-03-20 19:18:00,2026-03-20 19:26:00,Chicago O'hare International,America/Chicago,ORD,KORD,3,L11,9,2026-03-20 20:01:00,2026-03-20 19:27:00,,AlphaSky,AS,JAG,6332,AS6332,JAG6332,,,,A29680,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C26,,2026-03-20 19:12:00,2026-03-20 19:12:00,,Newark Liberty International,America/New_York,EWR,KEWR,C,C82,50,2026-03-20 20:57:00,,,United Airlines,UA,UAL,3593,UA3593,UAL3593,,,,A9F4C6,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C26,,2026-03-20 19:12:00,2026-03-20 19:12:00,,Newark Liberty International,America/New_York,EWR,KEWR,C,C82,50,2026-03-20 20:57:00,,,Air Canada,AC,ACA,3135,AC3135,ACA3135,,,,A9F4C6,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,A10,,2026-03-20 19:08:00,2026-03-20 19:08:00,2026-03-20 19:39:00,Tampa International,America/New_York,TPA,KTPA,,E75,31,2026-03-20 21:48:00,2026-03-20 21:46:00,,Frontier Airlines,F9,FFT,2683,F92683,FFT2683,,,,A3414E,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,B11,,2026-03-20 18:45:00,2026-03-20 18:45:00,2026-03-20 18:59:00,Denver International,America/Denver,DEN,KDEN,,C63,15,2026-03-20 20:05:00,2026-03-20 19:55:00,,Southwest Airlines,WN,SWA,503,WN503,SWA503,,,,AC249E,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,A8,,2026-03-20 18:45:00,2026-03-20 18:45:00,,Fort Lauderdale–Hollywood International,America/New_York,FLL,KFLL,,A3,55,2026-03-20 21:46:00,,,Frontier Airlines,F9,FFT,4258,F94258,FFT4258,,,,A967AE,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C4,10,2026-03-20 18:44:00,2026-03-20 18:44:00,2026-03-20 19:01:00,Seattle-Tacoma International,America/Los_Angeles,SEA,KSEA,,N11,18,2026-03-20 20:57:00,2026-03-20 21:07:00,,Alaska Airlines,AS,ASA,216,AS216,ASA216,N448AS,B739,B739,A56866,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C4,10,2026-03-20 18:44:00,2026-03-20 18:44:00,2026-03-20 19:01:00,Seattle-Tacoma International,America/Los_Angeles,SEA,KSEA,,N11,18,2026-03-20 20:57:00,2026-03-20 21:07:00,,Hawaiian Airlines,HA,HAL,4852,HA4852,HAL4852,,,,A56866,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C4,10,2026-03-20 18:44:00,2026-03-20 18:44:00,2026-03-20 19:01:00,Seattle-Tacoma International,America/Los_Angeles,SEA,KSEA,,N11,18,2026-03-20 20:57:00,2026-03-20 21:07:00,,American Airlines,AA,AAL,9354,AA9354,AAL9354,,,,A56866,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,A1,,2026-03-20 18:31:00,2026-03-20 18:31:00,2026-03-20 18:35:00,Fort Lauderdale–Hollywood International,America/New_York,FLL,KFLL,4,F8,5,2026-03-20 21:20:00,2026-03-20 20:49:00,,Spirit Airlines,NK,NKS,3113,NK3113,NKS3113,,,,ACBF60,2026-03-21 00:58:33
