flight_date,flight_status,dep_airport,dep_timezone,dep_iata,dep_icao,dep_terminal,dep_gate,dep_delay,dep_scheduled_utc,dep_estimated_utc,dep_actual_utc,arr_airport,arr_timezone,arr_iata,arr_icao,arr_terminal,arr_gate,arr_delay,arr_scheduled_utc,arr_estimated_utc,arr_actual_utc,airline_name,airline_iata,airline_icao,flight_number,flight_iata,flight_icao,aircraft_registration,aircraft_iata,aircraft_icao,aircraft_icao24,silver_loaded_at
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C7,,2026-03-20 18:22:00,2026-03-20 18:22:00,,Miami International Airport,America/New_York,MIA,KMIA,,D5,77,2026-03-20 21:26:00,,,American Airlines,AA,AAL,2537,AA2537,AAL2537,,,,AA7288,2026-03-21 00:58:33
2026-03-20 00:00:00,landed,Hopkins International,America/New_York,CLE,KCLE,,C10,21,2026-03-20 18:10:00,2026-03-20 18:10:00,2026-03-20 18:44:00,Lester B. Pearson International,America/Toronto,YYZ,CYYZ,1,F64,21,2026-03-20 19:15:00,2026-03-20 19:31:00,2026-03-20 19:36:00,Air Canada,AC,ACA,8732,AC8732,ACA8732,,,,C00B7E,2026-03-21 00:58:33
2026-03-20 00:00:00,landed,Hopkins International,America/New_York,CLE,KCLE,,C10,21,2026-03-20 18:10:00,2026-03-20 18:10:00,2026-03-20 18:44:00,Lester B. Pearson International,America/Toronto,YYZ,CYYZ,1,F64,21,2026-03-20 19:15:00,2026-03-20 19:31:00,2026-03-20 19:36:00,United Airlines,UA,UAL,8133,UA8133,UAL8133,,,,C00B7E,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C24,,2026-03-20 18:09:00,2026-03-20 18:09:00,2026-03-20 18:14:00,George Bush Intercontinental,America/Chicago,IAH,KIAH,B,B28,6,2026-03-20 20:40:00,2026-03-20 19:44:00,,Air New Zealand,NZ,ANZ,6425,NZ6425,ANZ6425,,,,AC03F2,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C3,,2026-03-20 18:05:00,2026-03-20 18:05:00,2026-03-20 18:07:00,Chicago O'hare International,America/Chicago,ORD,KORD,3,K6,2,2026-03-20 18:46:00,2026-03-20 18:06:00,,Qatar Airways,QR,QTR,7588,QR7588,QTR7588,,,,A9854E,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C3,,2026-03-20 18:05:00,2026-03-20 18:05:00,2026-03-20 18:07:00,Chicago O'hare International,America/Chicago,ORD,KORD,3,K6,2,2026-03-20 18:46:00,2026-03-20 18:06:00,,Gulf Air,GF,GFA,6862,GF6862,GFA6862,,,,A9854E,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C3,,2026-03-20 18:05:00,2026-03-20 18:05:00,2026-03-20 18:07:00,Chicago O'hare International,America/Chicago,ORD,KORD,3,K6,2,2026-03-20 18:46:00,2026-03-20 18:06:00,,Aer Lingus,EI,EIN,7179,EI7179,EIN7179,,,,A9854E,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C3,,2026-03-20 18:05:00,2026-03-20 18:05:00,2026-03-20 18:07:00,Chicago O'hare International,America/Chicago,ORD,KORD,3,K6,2,2026-03-20 18:46:00,2026-03-20 18:06:00,,British Airways,BA,BAW,5212,BA5212,BAW5212,,,,A9854E,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C3,,2026-03-20 18:05:00,2026-03-20 18:05:00,2026-03-20 18:07:00,Chicago O'hare International,America/Chicago,ORD,KORD,3,K6,2,2026-03-20 18:46:00,2026-03-20 18:06:00,,AlphaSky,AS,JAG,6203,AS6203,JAG6203,,,,A9854E,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C19,,2026-03-20 17:55:00,2026-03-20 17:55:00,,Chicago O'hare International,America/Chicago,ORD,KORD,1,B19,67,2026-03-20 18:34:00,,,Air New Zealand,NZ,ANZ,2178,NZ2178,ANZ2178,,,,A53774,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C19,,2026-03-20 17:55:00,2026-03-20 17:55:00,,Chicago O'hare International,America/Chicago,ORD,KORD,1,B19,67,2026-03-20 18:34:00,,,SWISS,LX,SWR,3287,LX3287,SWR3287,,,,A53774,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C19,,2026-03-20 17:55:00,2026-03-20 17:55:00,,Chicago O'hare International,America/Chicago,ORD,KORD,1,B19,67,2026-03-20 18:34:00,,,Emirates,EK,UAE,6037,EK6037,UAE6037,,,,A53774,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C19,,2026-03-20 17:55:00,2026-03-20 17:55:00,,Chicago O'hare International,America/Chicago,ORD,KORD,1,B19,67,2026-03-20 18:34:00,,,SA AVIANCA,AV,AVA,2275,AV2275,AVA2275,,,,A53774,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C7,,2026-03-20 17:44:00,2026-03-20 17:44:00,2026-03-20 18:10:00,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,A,A38,26,2026-03-20 19:59:00,2026-03-20 19:36:00,,Qatar Airways,QR,QTR,2264,QR2264,QTR2264,,,,AC72F0,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C7,,2026-03-20 17:44:00,2026-03-20 17:44:00,2026-03-20 18:10:00,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,A,A38,26,2026-03-20 19:59:00,2026-03-20 19:36:00,,Qantas,QF,QFA,4502,QF4502,QFA4502,,,,AC72F0,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C7,,2026-03-20 17:44:00,2026-03-20 17:44:00,2026-03-20 18:10:00,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,A,A38,26,2026-03-20 19:59:00,2026-03-20 19:36:00,,Gulf Air,GF,GFA,6591,GF6591,GFA6591,,,,AC72F0,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C7,,2026-03-20 17:44:00,2026-03-20 17:44:00,2026-03-20 18:10:00,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,A,A38,26,2026-03-20 19:59:00,2026-03-20 19:36:00,,Cathay Pacific,CX,CPA,7638,CX7638,CPA7638,,,,AC72F0,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,B02,,2026-03-20 17:35:00,2026-03-20 17:35:00,2026-03-20 17:38:00,Minneapolis - St. Paul International,America/Chicago,MSP,KMSP,1,A14,4,2026-03-20 18:45:00,2026-03-20 18:21:00,,WestJet,WS,WJA,6727,WS6727,WJA6727,,,,A11A81,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C26,,2026-03-20 17:28:00,2026-03-20 17:28:00,2026-03-20 17:46:00,Newark Liberty International,America/New_York,EWR,KEWR,C,C84,19,2026-03-20 19:13:00,2026-03-20 18:50:00,,Lufthansa,LH,DLH,7805,LH7805,DLH7805,,,,AA92C2,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C26,,2026-03-20 17:28:00,2026-03-20 17:28:00,2026-03-20 17:46:00,Newark Liberty International,America/New_York,EWR,KEWR,C,C84,19,2026-03-20 19:13:00,2026-03-20 18:50:00,,Air Canada,AC,ACA,3137,AC3137,ACA3137,,,,AA92C2,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,A2,,2026-03-20 17:00:00,2026-03-20 17:00:00,2026-03-20 17:53:00,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,E,E21,53,2026-03-20 19:18:00,2026-03-20 19:12:00,,Volaris,Y4,VOI,2621,Y42621,VOI2621,,,,A4BFC1,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,A8,,2026-03-20 16:55:00,2026-03-20 16:55:00,2026-03-20 17:06:00,Miami International Airport,America/New_York,MIA,KMIA,,F9,12,2026-03-20 19:55:00,2026-03-20 19:30:00,,Volaris,Y4,VOI,2729,Y42729,VOI2729,,,,A8785B,2026-03-21 00:58:33
2026-03-20 00:00:00,landed,Hopkins International,America/New_York,CLE,KCLE,,B05,,2026-03-20 16:43:00,2026-03-20 16:43:00,2026-03-20 16:51:00,Hartsfield-jackson Atlanta International,America/New_York,ATL,KATL,S,A03,,2026-03-20 18:37:00,,2026-03-20 18:05:00,Virgin Atlantic,VS,VIR,2173,VS2173,VIR2173,,,,ABF09E,2026-03-21 00:58:33
2026-03-20 00:00:00,landed,Hopkins International,America/New_York,CLE,KCLE,,B05,,2026-03-20 16:43:00,2026-03-20 16:43:00,2026-03-20 16:51:00,Hartsfield-jackson Atlanta International,America/New_York,ATL,KATL,S,A03,,2026-03-20 18:37:00,,2026-03-20 18:05:00,SAS,SK,SAS,3220,SK3220,SAS3220,,,,ABF09E,2026-03-21 00:58:33
2026-03-20 00:00:00,landed,Hopkins International,America/New_York,CLE,KCLE,,B05,,2026-03-20 16:43:00,2026-03-20 16:43:00,2026-03-20 16:51:00,Hartsfield-jackson Atlanta International,America/New_York,ATL,KATL,S,A03,,2026-03-20 18:37:00,,2026-03-20 18:05:00,LATAM Airlines,LA,LAN,6749,LA6749,LAN6749,,,,ABF09E,2026-03-21 00:58:33
2026-03-20 00:00:00,landed,Hopkins International,America/New_York,CLE,KCLE,,B05,,2026-03-20 16:43:00,2026-03-20 16:43:00,2026-03-20 16:51:00,Hartsfield-jackson Atlanta International,America/New_York,ATL,KATL,S,A03,,2026-03-20 18:37:00,,2026-03-20 18:05:00,KLM,KL,KLM,5398,KL5398,KLM5398,,,,ABF09E,2026-03-21 00:58:33
2026-03-20 00:00:00,landed,Hopkins International,America/New_York,CLE,KCLE,,B05,,2026-03-20 16:43:00,2026-03-20 16:43:00,2026-03-20 16:51:00,Hartsfield-jackson Atlanta International,America/New_York,ATL,KATL,S,A03,,2026-03-20 18:37:00,,2026-03-20 18:05:00,Air France,AF,AFR,2375,AF2375,AFR2375,,,,ABF09E,2026-03-21 00:58:33
2026-03-20 00:00:00,landed,Hopkins International,America/New_York,CLE,KCLE,,B6A,,2026-03-20 16:26:00,2026-03-20 16:26:00,2026-03-20 16:27:00,John F Kennedy International,America/New_York,JFK,KJFK,4,A17,,2026-03-20 18:09:00,2026-03-20 17:42:00,2026-03-20 17:42:00,Virgin Atlantic,VS,VIR,3484,VS3484,VIR3484,,,,A07F60,2026-03-21 00:58:33
2026-03-20 00:00:00,landed,Hopkins International,America/New_York,CLE,KCLE,,B06,,2026-03-20 10:55:00,2026-03-20 10:55:00,2026-03-20 11:17:00,LaGuardia,America/New_York,LGA,KLGA,C,67,,2026-03-20 12:30:00,2026-03-20 12:17:00,2026-03-20 12:23:00,Delta Air Lines,DL,DAL,5190,DL5190,DAL5190,,,,A3AD6D,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C24,,2026-03-20 18:09:00,2026-03-20 18:09:00,2026-03-20 18:14:00,George Bush Intercontinental,America/Chicago,IAH,KIAH,B,B28,6,2026-03-20 20:40:00,2026-03-20 19:44:00,,United Airlines,UA,UAL,6145,UA6145,UAL6145,,,,AC03F2,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C5,,2026-03-20 18:05:00,2026-03-20 18:05:00,2026-03-20 18:11:00,LaGuardia,America/New_York,LGA,KLGA,B,31,6,2026-03-20 19:45:00,2026-03-20 19:12:00,,American Airlines,AA,AAL,4429,AA4429,AAL4429,,,,A4C527,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C3,,2026-03-20 18:05:00,2026-03-20 18:05:00,2026-03-20 18:07:00,Chicago O'hare International,America/Chicago,ORD,KORD,3,K6,2,2026-03-20 18:46:00,2026-03-20 18:06:00,,American Airlines,AA,AAL,1994,AA1994,AAL1994,,,,A9854E,2026-03-21 00:58:33
2026-03-20 00:00:00,scheduled,Hopkins International,America/New_York,CLE,KCLE,,A12,,2026-03-20 18:01:00,2026-03-20 18:01:00,,Hartsfield-jackson Atlanta International,America/New_York,ATL,KATL,N,E41,,2026-03-20 20:15:00,,,Frontier Airlines,F9,FFT,4209,F94209,FFT4209,,,,A3E911,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C19,,2026-03-20 17:55:00,2026-03-20 17:55:00,,Chicago O'hare International,America/Chicago,ORD,KORD,1,B19,67,2026-03-20 18:34:00,,,United Airlines,UA,UAL,1673,UA1673,UAL1673,N435UA,A320,A320,A53774,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,B10,,2026-03-20 17:55:00,2026-03-20 17:55:00,2026-03-20 18:26:00,Baltimore/Washington International Thurgood Marshall,America/New_York,BWI,KBWI,,A15,32,2026-03-20 19:15:00,2026-03-20 19:15:00,,Southwest Airlines,WN,SWA,1514,WN1514,SWA1514,,,,A55F31,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C7,,2026-03-20 17:44:00,2026-03-20 17:44:00,2026-03-20 18:10:00,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,A,A38,26,2026-03-20 19:59:00,2026-03-20 19:36:00,,American Airlines,AA,AAL,2336,AA2336,AAL2336,,,,AC72F0,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,B02,,2026-03-20 17:35:00,2026-03-20 17:35:00,2026-03-20 17:38:00,Minneapolis - St. Paul International,America/Chicago,MSP,KMSP,1,A14,4,2026-03-20 18:45:00,2026-03-20 18:21:00,,Delta Air Lines,DL,DAL,3738,DL3738,DAL3738,,,,A11A81,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C26,,2026-03-20 17:28:00,2026-03-20 17:28:00,2026-03-20 17:46:00,Newark Liberty International,America/New_York,EWR,KEWR,C,C84,19,2026-03-20 19:13:00,2026-03-20 18:50:00,,United Airlines,UA,UAL,3633,UA3633,UAL3633,,,,AA92C2,2026-03-21 00:58:33
2026-03-20 00:00:00,landed,Hopkins International,America/New_York,CLE,KCLE,,B6A,,2026-03-20 16:26:00,2026-03-20 16:26:00,2026-03-20 16:27:00,John F Kennedy International,America/New_York,JFK,KJFK,4,A17,,2026-03-20 18:09:00,2026-03-20 17:42:00,2026-03-20 17:42:00,LATAM Airlines,LA,LAN,8452,LA8452,LAN8452,,,,A07F60,2026-03-21 00:58:33
2026-03-20 00:00:00,landed,Hopkins International,America/New_York,CLE,KCLE,,B6A,,2026-03-20 16:26:00,2026-03-20 16:26:00,2026-03-20 16:27:00,John F Kennedy International,America/New_York,JFK,KJFK,4,A17,,2026-03-20 18:09:00,2026-03-20 17:42:00,2026-03-20 17:42:00,KLM,KL,KLM,6794,KL6794,KLM6794,,,,A07F60,2026-03-21 00:58:33
2026-03-20 00:00:00,landed,Hopkins International,America/New_York,CLE,KCLE,,B6A,,2026-03-20 16:26:00,2026-03-20 16:26:00,2026-03-20 16:27:00,John F Kennedy International,America/New_York,JFK,KJFK,4,A17,,2026-03-20 18:09:00,2026-03-20 17:42:00,2026-03-20 17:42:00,Korean Air,KE,KAL,7318,KE7318,KAL7318,,,,A07F60,2026-03-21 00:58:33
2026-03-20 00:00:00,landed,Hopkins International,America/New_York,CLE,KCLE,,B6A,,2026-03-20 16:26:00,2026-03-20 16:26:00,2026-03-20 16:27:00,John F Kennedy International,America/New_York,JFK,KJFK,4,A17,,2026-03-20 18:09:00,2026-03-20 17:42:00,2026-03-20 17:42:00,China Airlines,CI,CAL,9089,CI9089,CAL9089,,,,A07F60,2026-03-21 00:58:33
2026-03-20 00:00:00,landed,Hopkins International,America/New_York,CLE,KCLE,,B6A,,2026-03-20 16:26:00,2026-03-20 16:26:00,2026-03-20 16:27:00,John F Kennedy International,America/New_York,JFK,KJFK,4,A17,,2026-03-20 18:09:00,2026-03-20 17:42:00,2026-03-20 17:42:00,Air France,AF,AFR,3511,AF3511,AFR3511,,,,A07F60,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C29,,2026-03-20 16:09:00,2026-03-20 16:09:00,2026-03-20 16:17:00,Chicago O'hare International,America/Chicago,ORD,KORD,2,F14,8,2026-03-20 16:55:00,2026-03-20 16:13:00,,Air New Zealand,NZ,ANZ,2172,NZ2172,ANZ2172,,,,AA4B32,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C5,,2026-03-20 16:05:00,2026-03-20 16:05:00,2026-03-20 16:07:00,Philadelphia International,America/New_York,PHL,KPHL,F,F21,2,2026-03-20 17:38:00,2026-03-20 16:58:00,2026-03-20 17:02:00,Qatar Airways,QR,QTR,2398,QR2398,QTR2398,,,,A6CAD3,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,C5,,2026-03-20 16:05:00,2026-03-20 16:05:00,2026-03-20 16:07:00,Philadelphia International,America/New_York,PHL,KPHL,F,F21,2,2026-03-20 17:38:00,2026-03-20 16:58:00,2026-03-20 17:02:00,British Airways,BA,BAW,6569,BA6569,BAW6569,,,,A6CAD3,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,B04,,2026-03-20 17:08:00,2026-03-20 17:08:00,2026-03-20 17:51:00,LaGuardia,America/New_York,LGA,KLGA,C,62,43,2026-03-20 18:44:00,,,Delta Air Lines,DL,DAL,5286,DL5286,DAL5286,,,,A34215,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,A2,,2026-03-20 17:00:00,2026-03-20 17:00:00,2026-03-20 17:53:00,Dallas/Fort Worth International,America/Chicago,DFW,KDFW,E,E21,53,2026-03-20 19:18:00,2026-03-20 19:12:00,,Frontier Airlines,F9,FFT,3567,F93567,FFT3567,,,,A4BFC1,2026-03-21 00:58:33
2026-03-20 00:00:00,active,Hopkins International,America/New_York,CLE,KCLE,,A8,,2026-03-20 16:55:00,2026-03-20 16:55:00,2026-03-20 17:06:00,Miami International Airport,America/New_York,MIA,KMIA,,F9,12,2026-03-20 19:55:00,2026-03-20 19:30:00,,Frontier Airlines,F9,FFT,4136,F94136,FFT4136,,,,A8785B,2026-03-21 00:58:33