flight_date,dep_hour_utc,airline_name,dep_iata,arr_iata,scheduled_departure_count,avg_dep_delay_minutes,max_dep_delay_minutes
2026-03-20 00:00:00,19,KLM,CLE,ATL,1,,
2026-03-20 00:00:00,19,Air New Zealand,CLE,ORD,1,,
2026-03-20 00:00:00,20,Southwest Airlines,CLE,STL,1,,
2026-03-20 00:00:00,17,Qatar Airways,CLE,DFW,1,,
2026-03-20 00:00:00,10,Delta Air Lines,CLE,LGA,1,,
2026-03-20 00:00:00,18,Frontier Airlines,CLE,ATL,1,,
2026-03-20 00:00:00,21,UPS Airlines,CLE,SDF,1,,
2026-03-20 00:00:00,19,Korean Air,CLE,ATL,1,,
2026-03-20 00:00:00,19,Frontier Airlines,CLE,TPA,1,,
2026-03-20 00:00:00,18,Hawaiian Airlines,CLE,SEA,1,10,10
2026-03-20 00:00:00,18,Spirit Airlines,CLE,FLL,1,,
2026-03-20 00:00:00,18,United Airlines,CLE,IAH,1,,
2026-03-20 00:00:00,18,American Airlines,CLE,LGA,1,,
2026-03-20 00:00:00,18,Pacific Coast Jet,CLE,MHL,1,4,4
2026-03-20 00:00:00,18,Frontier Airlines,CLE,FLL,1,,
2026-03-20 00:00:00,18,Qatar Airways,CLE,ORD,1,,
2026-03-20 00:00:00,16,SAS,CLE,ATL,1,,
2026-03-20 00:00:00,16,British Airways,CLE,PHL,1,,
2026-03-20 00:00:00,19,empty,CLE,LEX,1,,
2026-03-20 00:00:00,20,Frontier Airlines,CLE,LAS,1,,
2026-03-20 00:00:00,18,Southwest Airlines,CLE,DEN,1,,
2026-03-20 00:00:00,18,Air New Zealand,CLE,IAH,1,,
2026-03-20 00:00:00,18,Gulf Air,CLE,ORD,1,,
2026-03-20 00:00:00,17,Air New Zealand,CLE,ORD,1,,
2026-03-20 00:00:00,16,Virgin Atlantic,CLE,JFK,1,,
2026-03-20 00:00:00,16,Korean Air,CLE,JFK,1,,
2026-03-20 00:00:00,16,Air France,CLE,JFK,1,,
2026-03-20 00:00:00,16,Air New Zealand,CLE,ORD,1,,
2026-03-20 00:00:00,19,Copa Airlines,CLE,IAD,1,,
2026-03-20 00:00:00,19,Air France,CLE,ATL,1,,
2026-03-20 00:00:00,19,United Airlines,CLE,ORD,1,,
2026-03-20 00:00:00,19,Air France,CLE,DTW,1,,
2026-03-20 00:00:00,19,AlphaSky,CLE,ORD,1,,
2026-03-20 00:00:00,18,British Airways,CLE,ORD,1,,
2026-03-20 00:00:00,18,AlphaSky,CLE,ORD,1,,
2026-03-20 00:00:00,17,Emirates,CLE,ORD,1,,
2026-03-20 00:00:00,17,Qantas,CLE,DFW,1,,
2026-03-20 00:00:00,16,Air France,CLE,ATL,1,,
2026-03-20 00:00:00,17,American Airlines,CLE,DFW,1,,
2026-03-20 00:00:00,20,American Airlines,CLE,DCA,1,,
2026-03-20 00:00:00,18,American Airlines,CLE,MIA,1,,
2026-03-20 00:00:00,18,Air Canada,CLE,YYZ,1,21,21
2026-03-20 00:00:00,17,SWISS,CLE,ORD,1,,
2026-03-20 00:00:00,17,SA AVIANCA,CLE,ORD,1,,
2026-03-20 00:00:00,16,Volaris,CLE,MIA,1,,
2026-03-20 00:00:00,16,LATAM Airlines,CLE,ATL,1,,
2026-03-20 00:00:00,22,FedEx,CLE,MEM,1,,
2026-03-20 00:00:00,21,Qatar Airways,CLE,DUB,1,,
2026-03-20 00:00:00,21,American Airlines,CLE,DUB,1,,
2026-03-20 00:00:00,19,Copa Airlines,CLE,ORD,1,,
2026-03-20 00:00:00,19,United Airlines,CLE,EWR,1,,
2026-03-20 00:00:00,19,Air Canada,CLE,EWR,1,,
2026-03-20 00:00:00,17,Delta Air Lines,CLE,LGA,1,,
2026-03-20 00:00:00,21,Frontier Airlines,CLE,RSW,1,,
2026-03-20 00:00:00,19,LATAM Airlines,CLE,ATL,1,,
2026-03-20 00:00:00,19,Lufthansa,CLE,ORD,1,,
2026-03-20 00:00:00,21,Charter Airlines,CLE,SLC,1,,
2026-03-20 00:00:00,19,Lufthansa,CLE,IAD,1,,
2026-03-20 00:00:00,19,Air Canada,CLE,IAD,1,,
2026-03-20 00:00:00,19,Delta Air Lines,CLE,DTW,1,,
2026-03-20 00:00:00,17,Southwest Airlines,CLE,BWI,1,,
2026-03-20 00:00:00,14,empty,CLE,TEB,1,5,5
2026-03-20 00:00:00,18,NetJets Aviation,CLE,PHL,1,,
2026-03-20 00:00:00,19,Virgin Atlantic,CLE,ATL,1,,
2026-03-20 00:00:00,19,Delta Air Lines,CLE,ATL,1,,
2026-03-20 00:00:00,19,American Airlines,CLE,ORD,1,,
2026-03-20 00:00:00,18,United Airlines,CLE,YYZ,1,21,21
2026-03-20 00:00:00,17,Gulf Air,CLE,DFW,1,,
2026-03-20 00:00:00,16,Qatar Airways,CLE,PHL,1,,
2026-03-20 00:00:00,19,Southwest Airlines,CLE,MDW,1,,
2026-03-20 00:00:00,19,WestJet,CLE,DTW,1,,
2026-03-20 00:00:00,17,Cathay Pacific,CLE,DFW,1,,
2026-03-20 00:00:00,17,Volaris,CLE,DFW,1,,
2026-03-20 00:00:00,16,LATAM Airlines,CLE,JFK,1,,
2026-03-20 00:00:00,16,China Airlines,CLE,JFK,1,,
2026-03-20 00:00:00,21,British Airways,CLE,DUB,1,,
2026-03-20 00:00:00,18,Aer Lingus,CLE,ORD,1,,
2026-03-20 00:00:00,19,Virgin Atlantic,CLE,DTW,1,,
2026-03-20 00:00:00,18,Alaska Airlines,CLE,SEA,1,10,10
2026-03-20 00:00:00,16,KLM,CLE,ATL,1,,
2026-03-20 00:00:00,17,United Airlines,CLE,EWR,1,,
2026-03-20 00:00:00,21,Aer Lingus,CLE,DUB,1,,
2026-03-20 00:00:00,20,Southwest Airlines,CLE,BNA,1,,
2026-03-20 00:00:00,19,United Airlines,CLE,IAD,1,,
2026-03-20 00:00:00,19,KLM,CLE,DTW,1,,
2026-03-20 00:00:00,18,American Airlines,CLE,SEA,1,10,10
2026-03-20 00:00:00,17,WestJet,CLE,MSP,1,,
2026-03-20 00:00:00,17,Lufthansa,CLE,EWR,1,,
2026-03-20 00:00:00,16,KLM,CLE,JFK,1,,
2026-03-20 00:00:00,21,Iberia,CLE,DUB,1,,
2026-03-20 00:00:00,17,Delta Air Lines,CLE,MSP,1,,
2026-03-20 00:00:00,22,Frontier Airlines,CLE,MCO,1,,
2026-03-20 00:00:00,19,Delta Air Lines,CLE,LGA,1,,
2026-03-20 00:00:00,19,British Airways,CLE,ORD,1,,
2026-03-20 00:00:00,17,Air Canada,CLE,EWR,1,,
2026-03-20 00:00:00,16,Virgin Atlantic,CLE,ATL,1,,
2026-03-20 00:00:00,18,American Airlines,CLE,ORD,1,,
2026-03-20 00:00:00,17,United Airlines,CLE,ORD,1,,
2026-03-20 00:00:00,17,Frontier Airlines,CLE,DFW,1,,
2026-03-20 00:00:00,16,Frontier Airlines,CLE,MIA,1,,